"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
11	0.864694665759813	15	15	"Churn"	"Yes"	0.1
12	0.813075859504804	15	15	"Churn"	"Yes"	0.1
13	0.831522740825066	15	15	"Churn"	"Yes"	0.1
14	0.825758917278017	15	15	"Churn"	"Yes"	0.1
15	0.885693904953724	15	15	"Churn"	"Yes"	0.1
16	0.806618401206637	15	15	"Churn"	"Yes"	0.1
17	0.839536843148674	15	15	"Churn"	"Yes"	0.1
18	0.805265772478887	15	15	"Churn"	"Yes"	0.1
19	0.826455047113332	15	15	"Churn"	"Yes"	0.1
20	0.817961042246395	15	15	"Churn"	"Yes"	0.1
21	0.839518006298781	15	15	"Churn"	"Yes"	0.1
22	0.83665884427079	15	15	"Churn"	"Yes"	0.1
23	0.867277298850575	15	15	"Churn"	"Yes"	0.1
24	0.862057315233786	15	15	"Churn"	"Yes"	0.1
25	0.830748396813059	15	15	"Churn"	"Yes"	0.1
26	0.851362324070733	15	15	"Churn"	"Yes"	0.1
27	0.807806938159879	15	15	"Churn"	"Yes"	0.1
28	0.800744928148774	15	15	"Churn"	"Yes"	0.1
29	0.888610279441118	15	15	"Churn"	"Yes"	0.1
30	0.847955385496382	15	15	"Churn"	"Yes"	0.1
1	0.864872672567915	16	16	"Churn"	"Yes"	0.1
2	0.826051770647994	15	16	"Churn"	"Yes"	0.1
3	0.843249692118227	15	16	"Churn"	"Yes"	0.1
4	0.849835567923096	16	16	"Churn"	"Yes"	0.1
